Node_A,Node_B,Distance,Similarity
Caesalpinia,Bicuiba,0.1735,0.8265
Asimina,Morus_A,0.1741,0.8259
Dialium,Terminalia_B,0.1748,0.8252
Machaerium_C,Vochysia,0.175,0.825
Dipterocarpus,Handroanthus,0.1753,0.8247
Humiriastrum,Prunus_D,0.1753,0.8247
Tabebuia,Dipteryx,0.1756,0.8244
Caryocar,Hura,0.1756,0.8244
Machaerium_B,Swartzia,0.1756,0.8244
Casuarina,Curatella,0.18,0.82
Guaiacum,Guibourtia,0.1804,0.8196
Machaerium_C,Pterocarpus,0.1818,0.8182
Odyendea,Dialium,0.1845,0.8155
Cladrastis,Morus_A,0.1857,0.8143
Dipterocarpus,Dipteryx,0.1888,0.8112
Sassafras,Asimina,0.192,0.808
Cedrela,Diospyros_S,0.1932,0.8068
Bobgunnia,Machaerium_B,0.1932,0.8068
Casuarina,Carpinus,0.195,0.805
Machaerium_B,Vochysia,0.195,0.805
Machaerium_A,Symphonia,0.1951,0.8049
Celtis_D,Erisma,0.1961,0.8039
Quararibea,Carpinus,0.1961,0.8039
Eucalyptus,Calophyllum,0.1962,0.8038
Dalbergia_S,Libidibia,0.1971,0.8029
Rubroshorea,Dipterocarpus,0.1981,0.8019
Cordia_L,Rubroshorea,0.1981,0.8019
Swietenia,Copaifera,0.2,0.8
Sterculia_WB,Grevillea,0.2047,0.7953
Chrysolepis,Rhamnus,0.205,0.795
Ocotea,Copaifera,0.2143,0.7857
Maclura,Robinia,0.2153,0.7847
Curatella,Quercus_L,0.216,0.784
Leplaea,Terminalia_B,0.2206,0.7794
Guarea,Terminalia_B,0.2206,0.7794
Manilkara,Terminalia_B,0.226,0.774
Alstonia_A,Zanthoxylum_B,0.2271,0.7729
Gallesia,Neea,0.241,0.759
Carya,Hura,0.2553,0.7447
Quercus_W,Castanea,0.2596,0.7404
Quercus_R,Quercus_L,0.262,0.738
Carya,Juglans_C,0.2638,0.7362
Chrysolepis,Quercus_W,0.2723,0.7277
Gallesia,Ficus,0.2723,0.7277
Tectona,Juglans_N,0.2817,0.7183
Maclura,Castanea,0.2955,0.7045
Fraxinus,Juglans_N,0.3288,0.6712
